"issn","avgJSD","database","competitor","journal"
"1558-3724",0.357004673054083,"SCI","No","POLYM REV"
"1558-9080",0.395703301510979,"SOCSCI","No","ACAD MANAGE PERSPECT"
"1568-9972",0.332259363385808,"SCI","No","AUTOIMMUN REV"
"1612-2011",0.354104544422651,"SCI","No","LASER PHYS LETT"
"1613-6810",0.451468487272371,"SCI","No","SMALL"
"1616-301X",0.420087113318233,"SCI","No","ADV FUNCT MATER"
"1708-3087",0.467302259052626,"SOCSCI","No","ECOL SOC"
"1723-8617",0.434858267270611,"SOCSCI","No","WORLD PSYCHIATRY"
"1740-1526",0.40118788113052,"SCI","No","NAT REV MICROBIOL"
"1743-5390",0.483371350334871,"SCI","No","NANOTOXICOLOGY"
"1744-4292",0.471777628845111,"SCI","No","MOL SYST BIOL"
"1745-2473",0.31717165029732,"SCI","No","NAT PHYS"
"1745-6916",0.508393777430195,"SOCSCI","No","PERSPECT PSYCHOL SCI"
"1748-0132",0.438136228597166,"SCI","No","NANO TODAY"
"1748-3387",0.431984348694749,"SCI","No","NAT NANOTECHNOL"
"1749-4885",0.446612576890441,"SCI","No","NAT PHOTONICS"
"1749-5016",0.436956856682054,"SOCSCI","No","SOC COGN AFFECT NEUR"
"1750-9467",0.40525038930844,"SOCSCI","No","RES AUTISM SPECT DIS"
"1751-7362",0.459815056816837,"SCI","No","ISME J"
"1752-0894",0.425218122078637,"SCI","No","NAT GEOSCI"
"1754-2189",0.359783634068625,"SCI","No","NAT PROTOC"
"1754-5692",0.436527294776252,"SCI","No","ENERG ENVIRON SCI"
"1755-4330",0.453596339391619,"SCI","No","NAT CHEM"
"1756-1833",0.432293820794088,"SCI","No","BRIT MED J"
"1757-4676",0.505670688857618,"SCI","No","EMBO MOL MED"
"1759-4758",0.347574314759053,"SCI","No","NAT REV NEUROL"
"1759-4774",0.340782952699973,"SCI","No","NAT REV CLIN ONCOL"
"1759-4790",0.285727915040312,"SCI","No","NAT REV RHEUMATOL"
"1759-5002",0.295316049443006,"SCI","No","NAT REV CARDIOL"
"1759-5029",0.38140031580928,"SCI","No","NAT REV ENDOCRINOL"
"1759-5045",0.226921980374133,"SCI","No","NAT REV GASTRO HEPAT"
"1759-5061",0.325335056185873,"SCI","No","NAT REV NEPHROL"
"1863-2653",0.409641548588772,"SCI","No","BRAIN STRUCT FUNCT"
"1863-8880",0.344099750769223,"SCI","No","LASER PHOTONICS REV"
"1931-3128",0.430108649893726,"SCI","No","CELL HOST MICROBE"
"1934-5909",0.489432983708033,"SCI","No","CELL STEM CELL"
"1936-0851",0.46119187468459,"SCI","No","ACS NANO"
"1937-9145",0.446941600516589,"SCI","No","SCI SIGNAL"
"1939-3792",0.372960235941408,"SOCSCI","No","AUTISM RES"
"1943-0264",0.376677615609084,"SCI","No","CSH PERSPECT BIOL"
"1946-6234",0.472709295108583,"SCI","No","SCI TRANSL MED"
"2041-1723",0.451420512482886,"SCI","No","NAT COMMUN"
"8755-1209",0.390359145788004,"SCI","No","REV GEOPHYS"
"8756-5641",0.385820037267334,"SOCSCI","No","DEV NEUROPSYCHOL"
